"instruction","input","original_single_robot_output","num_subtasks","subtask_1","subtask_1_robot","subtask_1_order","subtask_2","subtask_2_robot","subtask_2_order","subtask_3","subtask_3_robot","subtask_3_order","subtask_4","subtask_4_robot","subtask_4_order"
"Robots: Drone, Underwater Robot, Humanoid, Robot with Wheels, Robot with Legs. What is the most suited robot for the task? It can be more than one robot if they are both equally suited for the task. Drone: capabilities: fastest, aerial navigation, surveillance, lightweight transport, aerial inspection, limitations: limited payload, loud, weather dependent, battery life, environments: outdoor, large indoor spaces, hard to reach areas Humanoid: capabilities: manipulation, walking, human interaction, complex tasks, tool use, limitations: slow movement, balance issues, high power consumption, environments: indoor, human environments, stairs, complex terrain Robot with Legs: capabilities: rough terrain navigation, stability, load carrying, inspection, limitations: limited manipulation, height restrictions, environments: outdoor, uneven terrain, stairs, industrial sites, search and rescue Robot with Wheels: capabilities: fast movement, good payload, stable platform, efficient, limitations: flat surfaces only, limited climbing, obstacle avoidance, environments: indoor, warehouse, flat outdoor areas, roads Underwater Robot: capabilities: underwater navigation, deep sea exploration, marine inspection, underwater manipulation, limitations: water environments only, communication limitations, pressure constraints, environments: underwater, marine, pools, pipes, ocean exploration","Task: Monitor a wildlife reserve from the air for illegal activities.","Drone","4","High-altitude wide-area surveillance","Drone","1","Low-altitude detailed inspection","Robot with Legs","2","Ground-based coordination and data relay","Humanoid","3","Mobile ground verification of aerial findings","Drone","3"
"Robots: Drone, Underwater Robot, Humanoid, Robot with Wheels, Robot with Legs. What is the most suited robot for the task? It can be more than one robot if they are both equally suited for the task. Drone: capabilities: fastest, aerial navigation, surveillance, lightweight transport, aerial inspection, limitations: limited payload, loud, weather dependent, battery life, environments: outdoor, large indoor spaces, hard to reach areas Humanoid: capabilities: manipulation, walking, human interaction, complex tasks, tool use, limitations: slow movement, balance issues, high power consumption, environments: indoor, human environments, stairs, complex terrain Robot with Legs: capabilities: rough terrain navigation, stability, load carrying, inspection, limitations: limited manipulation, height restrictions, environments: outdoor, uneven terrain, stairs, industrial sites, search and rescue Robot with Wheels: capabilities: fast movement, good payload, stable platform, efficient, limitations: flat surfaces only, limited climbing, obstacle avoidance, environments: indoor, warehouse, flat outdoor areas, roads Underwater Robot: capabilities: underwater navigation, deep sea exploration, marine inspection, underwater manipulation, limitations: water environments only, communication limitations, pressure constraints, environments: underwater, marine, pools, pipes, ocean exploration","Task: Search through collapsed buildings after an earthquake to find survivors.","Drone, Robot with Legs","4","Primary task execution and main operation","Humanoid","1","Support coordination and logistics","Humanoid","3","Monitoring and quality assurance","Humanoid","1","Backup assistance and emergency response","Humanoid","3"
"Robots: Drone, Underwater Robot, Humanoid, Robot with Wheels, Robot with Legs. What is the most suited robot for the task? It can be more than one robot if they are both equally suited for the task. Drone: capabilities: fastest, aerial navigation, surveillance, lightweight transport, aerial inspection, limitations: limited payload, loud, weather dependent, battery life, environments: outdoor, large indoor spaces, hard to reach areas Humanoid: capabilities: manipulation, walking, human interaction, complex tasks, tool use, limitations: slow movement, balance issues, high power consumption, environments: indoor, human environments, stairs, complex terrain Robot with Legs: capabilities: rough terrain navigation, stability, load carrying, inspection, limitations: limited manipulation, height restrictions, environments: outdoor, uneven terrain, stairs, industrial sites, search and rescue Robot with Wheels: capabilities: fast movement, good payload, stable platform, efficient, limitations: flat surfaces only, limited climbing, obstacle avoidance, environments: indoor, warehouse, flat outdoor areas, roads Underwater Robot: capabilities: underwater navigation, deep sea exploration, marine inspection, underwater manipulation, limitations: water environments only, communication limitations, pressure constraints, environments: underwater, marine, pools, pipes, ocean exploration","Task: Explore underwater caves to gather geological data.","Underwater Robot","4","Deep underwater navigation and positioning","Underwater Robot","1","Surface-level coordination and communication relay","Underwater Robot","3","Underwater inspection and data collection","Underwater Robot","4","Emergency backup and safety monitoring","Underwater Robot","3"
"Robots: Drone, Underwater Robot, Humanoid, Robot with Wheels, Robot with Legs. What is the most suited robot for the task? It can be more than one robot if they are both equally suited for the task. Drone: capabilities: fastest, aerial navigation, surveillance, lightweight transport, aerial inspection, limitations: limited payload, loud, weather dependent, battery life, environments: outdoor, large indoor spaces, hard to reach areas Humanoid: capabilities: manipulation, walking, human interaction, complex tasks, tool use, limitations: slow movement, balance issues, high power consumption, environments: indoor, human environments, stairs, complex terrain Robot with Legs: capabilities: rough terrain navigation, stability, load carrying, inspection, limitations: limited manipulation, height restrictions, environments: outdoor, uneven terrain, stairs, industrial sites, search and rescue Robot with Wheels: capabilities: fast movement, good payload, stable platform, efficient, limitations: flat surfaces only, limited climbing, obstacle avoidance, environments: indoor, warehouse, flat outdoor areas, roads Underwater Robot: capabilities: underwater navigation, deep sea exploration, marine inspection, underwater manipulation, limitations: water environments only, communication limitations, pressure constraints, environments: underwater, marine, pools, pipes, ocean exploration","Task: Drive across a large, flat desert to survey the area for minerals.","Robot with Wheels","4","High-altitude wide-area surveillance","Drone","1","Low-altitude detailed inspection","Robot with Wheels","2","Ground-based coordination and data relay","Humanoid","3","Mobile ground verification of aerial findings","Drone","3"
"Robots: Drone, Underwater Robot, Humanoid, Robot with Wheels, Robot with Legs. What is the most suited robot for the task? It can be more than one robot if they are both equally suited for the task. Drone: capabilities: fastest, aerial navigation, surveillance, lightweight transport, aerial inspection, limitations: limited payload, loud, weather dependent, battery life, environments: outdoor, large indoor spaces, hard to reach areas Humanoid: capabilities: manipulation, walking, human interaction, complex tasks, tool use, limitations: slow movement, balance issues, high power consumption, environments: indoor, human environments, stairs, complex terrain Robot with Legs: capabilities: rough terrain navigation, stability, load carrying, inspection, limitations: limited manipulation, height restrictions, environments: outdoor, uneven terrain, stairs, industrial sites, search and rescue Robot with Wheels: capabilities: fast movement, good payload, stable platform, efficient, limitations: flat surfaces only, limited climbing, obstacle avoidance, environments: indoor, warehouse, flat outdoor areas, roads Underwater Robot: capabilities: underwater navigation, deep sea exploration, marine inspection, underwater manipulation, limitations: water environments only, communication limitations, pressure constraints, environments: underwater, marine, pools, pipes, ocean exploration","Task: Deliver medical supplies through a densely populated market area.","Robot with Wheels, Robot with Legs","4","Human interaction and social navigation","Humanoid","1","Aerial traffic monitoring and path optimization","Drone","1","Ground-level obstacle avoidance and navigation","Robot with Legs","1","Package transport and delivery coordination","Humanoid","3"
"Robots: Drone, Underwater Robot, Humanoid, Robot with Wheels, Robot with Legs. What is the most suited robot for the task? It can be more than one robot if they are both equally suited for the task. Drone: capabilities: fastest, aerial navigation, surveillance, lightweight transport, aerial inspection, limitations: limited payload, loud, weather dependent, battery life, environments: outdoor, large indoor spaces, hard to reach areas Humanoid: capabilities: manipulation, walking, human interaction, complex tasks, tool use, limitations: slow movement, balance issues, high power consumption, environments: indoor, human environments, stairs, complex terrain Robot with Legs: capabilities: rough terrain navigation, stability, load carrying, inspection, limitations: limited manipulation, height restrictions, environments: outdoor, uneven terrain, stairs, industrial sites, search and rescue Robot with Wheels: capabilities: fast movement, good payload, stable platform, efficient, limitations: flat surfaces only, limited climbing, obstacle avoidance, environments: indoor, warehouse, flat outdoor areas, roads Underwater Robot: capabilities: underwater navigation, deep sea exploration, marine inspection, underwater manipulation, limitations: water environments only, communication limitations, pressure constraints, environments: underwater, marine, pools, pipes, ocean exploration","Task: Survey a flood zone from the air to assess damage to infrastructure.","Drone","4","High-altitude wide-area surveillance","Drone","1","Low-altitude detailed inspection","Robot with Legs","2","Ground-based coordination and data relay","Humanoid","3","Mobile ground verification of aerial findings","Drone","3"
"Robots: Drone, Underwater Robot, Humanoid, Robot with Wheels, Robot with Legs. What is the most suited robot for the task? It can be more than one robot if they are both equally suited for the task. Drone: capabilities: fastest, aerial navigation, surveillance, lightweight transport, aerial inspection, limitations: limited payload, loud, weather dependent, battery life, environments: outdoor, large indoor spaces, hard to reach areas Humanoid: capabilities: manipulation, walking, human interaction, complex tasks, tool use, limitations: slow movement, balance issues, high power consumption, environments: indoor, human environments, stairs, complex terrain Robot with Legs: capabilities: rough terrain navigation, stability, load carrying, inspection, limitations: limited manipulation, height restrictions, environments: outdoor, uneven terrain, stairs, industrial sites, search and rescue Robot with Wheels: capabilities: fast movement, good payload, stable platform, efficient, limitations: flat surfaces only, limited climbing, obstacle avoidance, environments: indoor, warehouse, flat outdoor areas, roads Underwater Robot: capabilities: underwater navigation, deep sea exploration, marine inspection, underwater manipulation, limitations: water environments only, communication limitations, pressure constraints, environments: underwater, marine, pools, pipes, ocean exploration","Task: Climb steep stairs in an industrial facility to inspect machinery.","Robot with Legs","4","Navigate stairs and vertical transport","Robot with Wheels","2","Coordinate from ground level and provide guidance","Humanoid","1","Monitor structural stability and safety","Robot with Legs","1","Backup transport and emergency assistance","Robot with Wheels","3"
"Robots: Drone, Underwater Robot, Humanoid, Robot with Wheels, Robot with Legs. What is the most suited robot for the task? It can be more than one robot if they are both equally suited for the task. Drone: capabilities: fastest, aerial navigation, surveillance, lightweight transport, aerial inspection, limitations: limited payload, loud, weather dependent, battery life, environments: outdoor, large indoor spaces, hard to reach areas Humanoid: capabilities: manipulation, walking, human interaction, complex tasks, tool use, limitations: slow movement, balance issues, high power consumption, environments: indoor, human environments, stairs, complex terrain Robot with Legs: capabilities: rough terrain navigation, stability, load carrying, inspection, limitations: limited manipulation, height restrictions, environments: outdoor, uneven terrain, stairs, industrial sites, search and rescue Robot with Wheels: capabilities: fast movement, good payload, stable platform, efficient, limitations: flat surfaces only, limited climbing, obstacle avoidance, environments: indoor, warehouse, flat outdoor areas, roads Underwater Robot: capabilities: underwater navigation, deep sea exploration, marine inspection, underwater manipulation, limitations: water environments only, communication limitations, pressure constraints, environments: underwater, marine, pools, pipes, ocean exploration","Task: Monitor water quality in deep ocean environments.","Underwater Robot","4","High-altitude wide-area surveillance","Drone","1","Low-altitude detailed inspection","Robot with Legs","2","Ground-based coordination and data relay","Humanoid","3","Mobile ground verification of aerial findings","Drone","3"
"Robots: Drone, Underwater Robot, Humanoid, Robot with Wheels, Robot with Legs. What is the most suited robot for the task? It can be more than one robot if they are both equally suited for the task. Drone: capabilities: fastest, aerial navigation, surveillance, lightweight transport, aerial inspection, limitations: limited payload, loud, weather dependent, battery life, environments: outdoor, large indoor spaces, hard to reach areas Humanoid: capabilities: manipulation, walking, human interaction, complex tasks, tool use, limitations: slow movement, balance issues, high power consumption, environments: indoor, human environments, stairs, complex terrain Robot with Legs: capabilities: rough terrain navigation, stability, load carrying, inspection, limitations: limited manipulation, height restrictions, environments: outdoor, uneven terrain, stairs, industrial sites, search and rescue Robot with Wheels: capabilities: fast movement, good payload, stable platform, efficient, limitations: flat surfaces only, limited climbing, obstacle avoidance, environments: indoor, warehouse, flat outdoor areas, roads Underwater Robot: capabilities: underwater navigation, deep sea exploration, marine inspection, underwater manipulation, limitations: water environments only, communication limitations, pressure constraints, environments: underwater, marine, pools, pipes, ocean exploration","Task: Traverse rough Martian terrain for an extended research mission.","Drone, Robot with Legs","4","Primary task execution and main operation","Humanoid","1","Support coordination and logistics","Humanoid","3","Monitoring and quality assurance","Robot with Legs","1","Backup assistance and emergency response","Robot with Legs","3"
"Robots: Drone, Underwater Robot, Humanoid, Robot with Wheels, Robot with Legs. What is the most suited robot for the task? It can be more than one robot if they are both equally suited for the task. Drone: capabilities: fastest, aerial navigation, surveillance, lightweight transport, aerial inspection, limitations: limited payload, loud, weather dependent, battery life, environments: outdoor, large indoor spaces, hard to reach areas Humanoid: capabilities: manipulation, walking, human interaction, complex tasks, tool use, limitations: slow movement, balance issues, high power consumption, environments: indoor, human environments, stairs, complex terrain Robot with Legs: capabilities: rough terrain navigation, stability, load carrying, inspection, limitations: limited manipulation, height restrictions, environments: outdoor, uneven terrain, stairs, industrial sites, search and rescue Robot with Wheels: capabilities: fast movement, good payload, stable platform, efficient, limitations: flat surfaces only, limited climbing, obstacle avoidance, environments: indoor, warehouse, flat outdoor areas, roads Underwater Robot: capabilities: underwater navigation, deep sea exploration, marine inspection, underwater manipulation, limitations: water environments only, communication limitations, pressure constraints, environments: underwater, marine, pools, pipes, ocean exploration","Task: Move materials between rooms in a manufacturing plant.","Robot with Legs","4","Primary task execution and main operation","Humanoid","1","Support coordination and logistics","Humanoid","3","Monitoring and quality assurance","Humanoid","1","Backup assistance and emergency response","Humanoid","3"
"Robots: Drone, Underwater Robot, Humanoid, Robot with Wheels, Robot with Legs. What is the most suited robot for the task? It can be more than one robot if they are both equally suited for the task. Drone: capabilities: fastest, aerial navigation, surveillance, lightweight transport, aerial inspection, limitations: limited payload, loud, weather dependent, battery life, environments: outdoor, large indoor spaces, hard to reach areas Humanoid: capabilities: manipulation, walking, human interaction, complex tasks, tool use, limitations: slow movement, balance issues, high power consumption, environments: indoor, human environments, stairs, complex terrain Robot with Legs: capabilities: rough terrain navigation, stability, load carrying, inspection, limitations: limited manipulation, height restrictions, environments: outdoor, uneven terrain, stairs, industrial sites, search and rescue Robot with Wheels: capabilities: fast movement, good payload, stable platform, efficient, limitations: flat surfaces only, limited climbing, obstacle avoidance, environments: indoor, warehouse, flat outdoor areas, roads Underwater Robot: capabilities: underwater navigation, deep sea exploration, marine inspection, underwater manipulation, limitations: water environments only, communication limitations, pressure constraints, environments: underwater, marine, pools, pipes, ocean exploration","Task: Fly over a volcanic site to gather air quality data.","Drone","4","Primary task execution and main operation","Humanoid","1","Support coordination and logistics","Humanoid","3","Monitoring and quality assurance","Humanoid","1","Backup assistance and emergency response","Humanoid","3"
"Robots: Drone, Underwater Robot, Humanoid, Robot with Wheels, Robot with Legs. What is the most suited robot for the task? It can be more than one robot if they are both equally suited for the task. Drone: capabilities: fastest, aerial navigation, surveillance, lightweight transport, aerial inspection, limitations: limited payload, loud, weather dependent, battery life, environments: outdoor, large indoor spaces, hard to reach areas Humanoid: capabilities: manipulation, walking, human interaction, complex tasks, tool use, limitations: slow movement, balance issues, high power consumption, environments: indoor, human environments, stairs, complex terrain Robot with Legs: capabilities: rough terrain navigation, stability, load carrying, inspection, limitations: limited manipulation, height restrictions, environments: outdoor, uneven terrain, stairs, industrial sites, search and rescue Robot with Wheels: capabilities: fast movement, good payload, stable platform, efficient, limitations: flat surfaces only, limited climbing, obstacle avoidance, environments: indoor, warehouse, flat outdoor areas, roads Underwater Robot: capabilities: underwater navigation, deep sea exploration, marine inspection, underwater manipulation, limitations: water environments only, communication limitations, pressure constraints, environments: underwater, marine, pools, pipes, ocean exploration","Task: Inspect a tall wind turbine’s blades for damage.","Drone","4","Aerial damage assessment and overview","Drone","1","Ground-level detailed structural inspection","Robot with Legs","2","Underwater damage evaluation if applicable","Underwater Robot","1","Rescue coordination and emergency response","Humanoid","3"
